ID                        | REAL | PRED | ACTIVACIÓN DE SECUENCIAS EXPERTAS (E0-E9)
-------------------------------------------------------------------------------------------------------------------
0_54_43.wav               | 0    | 0    ✓ | E0:170  E1:12   E2:0    E3:2    E4:0    E5:0    E6:0    E7:151  E8:1    E9:0   
0_46_45.wav               | 0    | 0    ✓ | E0:178  E1:0    E2:0    E3:1    E4:0    E5:0    E6:0    E7:28   E8:0    E9:0   
0_04_12.wav               | 0    | 0    ✓ | E0:168  E1:12   E2:6    E3:0    E4:0    E5:0    E6:0    E7:0    E8:0    E9:2   
0_16_25.wav               | 0    | 0    ✓ | E0:117  E1:9    E2:54   E3:64   E4:0    E5:0    E6:0    E7:0    E8:0    E9:0   
0_35_20.wav               | 0    | 0    ✓ | E0:197  E1:0    E2:0    E3:0    E4:0    E5:0    E6:8    E7:0    E8:0    E9:0   
0_34_31.wav               | 0    | 0    ✓ | E0:247  E1:50   E2:0    E3:0    E4:0    E5:0    E6:0    E7:130  E8:0    E9:0   
0_33_10.wav               | 0    | 0    ✓ | E0:200  E1:0    E2:0    E3:0    E4:0    E5:0    E6:2    E7:1    E8:0    E9:0   
0_52_39.wav               | 0    | 0    ✓ | E0:200  E1:0    E2:0    E3:0    E4:10   E5:0    E6:3    E7:4    E8:0    E9:0   
0_12_10.wav               | 0    | 0    ✓ | E0:190  E1:0    E2:0    E3:1    E4:3    E5:0    E6:0    E7:0    E8:0    E9:0   
0_30_2.wav                | 0    | 0    ✓ | E0:200  E1:0    E2:0    E3:0    E4:0    E5:0    E6:0    E7:0    E8:0    E9:50  
0_52_38.wav               | 0    | 0    ✓ | E0:200  E1:0    E2:0    E3:0    E4:9    E5:0    E6:4    E7:5    E8:0    E9:0   
0_37_46.wav               | 0    | 0    ✓ | E0:109  E1:12   E2:7    E3:1    E4:0    E5:0    E6:0    E7:77   E8:0    E9:0   
0_19_21.wav               | 0    | 0    ✓ | E0:151  E1:0    E2:0    E3:0    E4:50   E5:0    E6:0    E7:5    E8:0    E9:0   
0_06_22.wav               | 0    | 0    ✓ | E0:185  E1:0    E2:0    E3:1    E4:0    E5:0    E6:3    E7:7    E8:0    E9:0   
0_19_46.wav               | 0    | 0    ✓ | E0:199  E1:0    E2:0    E3:0    E4:0    E5:0    E6:0    E7:11   E8:0    E9:0   
0_13_27.wav               | 0    | 0    ✓ | E0:198  E1:0    E2:0    E3:0    E4:0    E5:0    E6:3    E7:4    E8:0    E9:0   
0_32_45.wav               | 0    | 0    ✓ | E0:200  E1:0    E2:0    E3:0    E4:0    E5:0    E6:0    E7:26   E8:0    E9:0   
0_36_21.wav               | 0    | 0    ✓ | E0:147  E1:0    E2:0    E3:0    E4:2    E5:0    E6:1    E7:13   E8:0    E9:0   
0_19_3.wav                | 0    | 0    ✓ | E0:199  E1:0    E2:0    E3:0    E4:0    E5:0    E6:0    E7:0    E8:0    E9:0   
0_18_27.wav               | 0    | 0    ✓ | E0:190  E1:15   E2:0    E3:51   E4:0    E5:0    E6:0    E7:3    E8:0    E9:50  
0_26_9.wav                | 0    | 0    ✓ | E0:83   E1:30   E2:0    E3:0    E4:0    E5:0    E6:4    E7:0    E8:0    E9:0   
0_02_15.wav               | 0    | 7    ✗ | E0:194  E1:8    E2:0    E3:0    E4:0    E5:0    E6:0    E7:200  E8:0    E9:0   
0_21_32.wav               | 0    | 0    ✓ | E0:179  E1:36   E2:0    E3:0    E4:0    E5:0    E6:0    E7:44   E8:0    E9:0   
0_43_44.wav               | 0    | 7    ✗ | E0:199  E1:0    E2:0    E3:0    E4:2    E5:0    E6:0    E7:203  E8:0    E9:0   
0_27_49.wav               | 0    | 0    ✓ | E0:150  E1:1    E2:0    E3:40   E4:0    E5:0    E6:0    E7:5    E8:0    E9:0   
0_44_45.wav               | 0    | 0    ✓ | E0:193  E1:44   E2:0    E3:0    E4:0    E5:0    E6:0    E7:11   E8:0    E9:2   
